1	40	21574	21687	1	0
1	29	21578	21687	1	0
1	30	21687	21687	1	0
1	34	21574	21796	1	0
1	26	21796	21796	1	0
1	36	21796	21796	1	0
1	41	21578	21913	1	0
1	35	21913	21913	1	0
1	20	21913	21913	1	0
1	19	21913	21913	1	0
1	5	21687	22024	1	0
1	10	22024	22024	1	0
1	22	22024	22029	1	0
1	24	22029	22029	1	0
1	11	22029	22145	1	0
1	19	22145	22145	2	232
1	42	22024	22268	1	0
1	41	22268	22268	2	355
1	3	22268	22268	1	0
1	25	22268	22268	1	0
1	17	22387	22387	1	0
1	37	22387	22387	1	0
1	4	21796	22496	1	0
1	35	22145	22496	2	232
1	5	22496	22496	2	472
1	22	22496	22496	2	467
1	39	22496	22496	1	0
1	9	22387	22501	1	0
1	29	22501	22501	2	814
1	42	22504	22504	2	236
1	25	22504	22504	2	236
1	41	22504	22504	3	236
1	7	22268	22508	1	0
1	37	22628	22628	2	241
1	17	22628	22628	2	241
1	34	22145	22750	2	349
1	26	22387	22750	2	591
1	9	22628	22750	2	127
1	21	22750	22750	1	0
1	5	22628	22754	3	132
1	19	22628	22754	3	483
1	22	22754	22754	3	258
1	39	22754	22754	2	258
1	11	22754	22754	2	609
1	35	22508	22863	3	12
1	4	22508	22863	2	12
1	41	22863	22863	4	359
1	8	22863	22863	1	0
1	5	23122	23122	4	368
1	9	23122	23122	3	372
1	8	23256	23256	2	393
1	4	23256	23263	3	393
1	41	23740	23747	5	877
1	34	23626	24926	3	876
1	41	24109	24926	6	362
1	41	25184	25184	7	258
1	43	25545	25545	1	0
1	41	25552	25790	8	368
1	34	25184	25905	4	258
1	44	26158	26158	1	0
1	34	26636	26636	5	731
1	8	26758	26876	3	3502
1	39	26758	26876	3	4004
1	41	26629	27004	9	839
1	34	27004	27004	6	368
1	34	27343	27851	7	339
1	34	28096	28980	8	245
1	41	28096	31471	10	1092
1	41	31710	32779	11	239
1	41	33023	33023	12	244
1	34	29331	33156	9	351
1	29	34459	34466	3	11958
1	29	40295	40295	4	5829
1	29	40905	41015	5	610
1	29	43226	44077	6	2211
1	29	44316	44316	7	239
1	24	44929	44929	2	22900
1	24	51424	51424	3	6495
1	29	44807	52042	8	491
1	29	52167	55219	9	125
1	29	55589	60041	10	370
