% sym unweighted
0,1
0,2
1,3
2,4
2,3
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,18
12,13
12,14
14,15
14,16
14,17
18,19
19,20
19,21
19,22
19,23
24,25
25,26
25,27
25,28
25,29
30,31
32,33
34,35
35,36
35,37
35,38
35,41
35,42
35,43
35,44
35,45
35,46
35,47
35,48
35,49
35,50
39,40
51,52
53,54
55,56
57,58
58,59
58,60
58,61
62,63
64,65
66,67
66,68
66,69
66,70
66,71
66,72
72,73
72,75
73,74
75,76
76,77
76,78
76,79
76,80
76,81
76,82
76,83
76,84
76,85
76,86
76,87
76,88
76,89
76,90
76,100
80,105
87,91
90,91
90,97
90,99
90,159
91,92
91,93
91,94
91,95
91,96
98,99
100,101
100,102
100,103
100,104
105,106
105,107
105,108
105,109
105,110
105,111
105,112
105,113
105,114
105,115
105,116
105,118
105,119
105,120
105,121
105,122
105,123
105,124
105,125
105,126
105,127
105,128
105,129
105,130
105,131
105,132
105,133
105,134
116,117
124,159
125,157
125,158
125,159
125,127
126,154
127,142
127,152
127,153
127,154
128,142
128,154
129,142
130,142
130,154
131,142
132,142
133,143
133,144
133,145
133,146
133,147
134,135
134,136
134,137
134,138
134,139
134,140
134,141
134,142
142,148
142,149
142,150
142,151
150,154
150,159
154,155
154,156
159,160
159,161
159,162
159,163
159,164
159,165
159,166
159,167
159,168
159,169
159,170
159,171
167,174
168,172
168,173
174,175
176,177
177,178
177,180
178,179
179,180
180,181
180,182
180,183
180,184
180,185
180,186
180,187
180,188
180,189
187,190
188,190
189,190
190,191
192,193
193,194
193,195
196,197
198,199
200,201
202,203
204,205
206,207
208,209
210,211
212,213
213,214
213,215
215,216
217,218
219,220
221,222
223,224
225,226
227,228
229,230
229,231
229,232
229,233
229,234
229,235
229,236
229,237
229,238
229,239
240,241
240,242
240,243
240,244
240,245
240,246
240,247
240,248
240,249
240,250
240,251
240,252
240,253
240,254
240,255
240,256
240,257
240,258
240,259
240,260
240,261
240,262
240,263
240,264
240,265
240,266
240,267
240,268
240,269
240,270
240,271
240,272
240,273
240,274
241,275
245,285
250,287
251,287
251,288
267,282
275,276
275,277
275,278
275,279
275,280
275,281
282,283
283,284
286,287
288,289
289,290
